timestep,node,incoming_traffic,outgoing_traffic,queue_size,flow_count,traffic_volume,node_load
3,9,953.9,1009.8,0.0,2,1963.7,0
3,10,1067.6,806.93,0.0,2,1874.53,0
3,11,951.11,925.65,0.0,2,1876.76,0
3,12,954.04,806.73,0.0,2,1760.77,0
3,13,848.75,914.13,0.0,2,1762.88,0
3,14,992.98,802.28,0.0,2,1795.26,0
4,0,5603.49,5801.39,0.0,10,11404.88,0
4,1,3532.61,3592.48,0.0,6,7125.09,0
4,2,1275.95,1030.22,0.0,2,2306.17,0
4,3,1673.95,1812.39,0.0,3,3486.34,0
4,4,3636.17,3366.38,0.0,6,7002.55,0
4,5,2328.74,2512.95,0.0,4,4841.69,0
4,6,1467.44,1778.29,0.0,3,3245.73,0
4,7,1330.98,1423.48,0.0,2,2754.46,0
4,8,2312.84,2150.47,0.0,4,4463.31,0
4,9,1206.36,947.54,0.0,2,2153.9,0
4,10,1124.54,1042.19,0.0,2,2166.73,0
4,11,1166.26,1098.79,0.0,2,2265.05,0
4,12,1232.28,1146.69,0.0,2,2378.97,0
4,13,1023.03,1309.66,0.0,2,2332.69,0
4,14,1160.23,1061.95,0.0,2,2222.18,0
5,0,4689.71,4713.58,0.0,10,9403.29,0
5,1,2830.51,3142.71,0.0,6,5973.22,0
5,2,1131.17,972.84,0.0,2,2104.01,0
5,3,1371.92,1381.84,0.0,3,2753.76,0
5,4,2967.87,2848.63,0.0,6,5816.5,0
5,5,1827.01,1808.58,0.0,4,3635.59,0
5,6,1370.13,1440.99,0.0,3,2811.12,0
5,7,1082.64,1129.14,0.0,2,2211.78,0
5,8,1994.69,1785.03,0.0,4,3779.72,0
5,9,950.79,960.13,0.0,2,1910.92,0
5,10,976.89,1039.85,0.0,2,2016.74,0
5,11,887.17,896.69,0.0,2,1783.86,0
5,12,865.82,991.17,0.0,2,1856.99,0
5,13,925.08,865.38,0.0,2,1790.46,0
5,14,920.66,815.5,0.0,2,1736.16,0
6,0,5161.58,5113.56,0.0,10,10275.14,0
6,1,2837.22,3184.26,0.0,6,6021.48,0
6,2,1002.56,1197.44,0.0,2,2200.0,0
6,3,1420.02,1406.9,0.0,3,2826.92,0
6,4,3096.6,2716.77,0.0,6,5813.37,0
6,5,2044.18,1932.95,0.0,4,3977.13,0
6,6,1371.64,1698.05,0.0,3,3069.69,0
6,7,1050.38,1145.34,0.0,2,2195.72,0
6,8,2117.58,1867.77,0.0,4,3985.35,0
6,9,1174.61,1067.21,0.0,2,2241.82,0
6,10,1132.29,1093.89,0.0,2,2226.18,0
6,11,1186.87,1151.09,0.0,2,2337.96,0
6,12,925.85,1024.52,0.0,2,1950.37,0
6,13,902.0,992.89,0.0,2,1894.89,0
6,14,1085.74,916.48,0.0,2,2002.22,0
7,0,3876.05,3985.4,0.0,10,7861.45,0
7,1,2546.16,2501.3,0.0,6,5047.46,0
7,2,766.82,765.48,0.0,2,1532.3,0
7,3,1171.09,1158.16,0.0,3,2329.25,0
7,4,2517.36,2300.51,0.0,6,4817.87,0
7,5,1696.86,1667.09,0.0,4,3363.95,0
7,6,1089.47,1306.57,0.0,3,2396.04,0
7,7,966.35,830.17,0.0,2,1796.52,0
7,8,1591.0,1481.57,0.0,4,3072.57,0
7,9,829.07,853.48,0.0,2,1682.55,0
7,10,771.51,838.18,0.0,2,1609.69,0
7,11,899.42,882.87,0.0,2,1782.29,0
7,12,795.56,777.6,0.0,2,1573.16,0
7,13,682.26,769.19,0.0,2,1451.45,0
7,14,714.21,795.62,0.0,2,1509.83,0
8,0,5007.03,4896.09,0.0,10,9903.12,0
8,1,2859.13,3185.84,0.0,6,6044.97,0
8,2,1100.14,1171.38,0.0,2,2271.52,0
8,3,1327.43,1195.03,0.0,3,2522.46,0
8,4,3161.84,2833.5,0.0,6,5995.34,0
8,5,2068.2,1948.53,0.0,4,4016.73,0
8,6,1480.84,1537.34,0.0,3,3018.18,0
8,7,1176.42,1201.22,0.0,2,2377.64,0
8,8,1833.91,1710.57,0.0,4,3544.48,0
8,9,994.31,1042.86,0.0,2,2037.17,0
8,10,924.92,816.46,0.0,2,1741.38,0
8,11,955.91,1065.02,0.0,2,2020.93,0
8,12,861.2,984.42,0.0,2,1845.62,0
8,13,850.41,1054.46,0.0,2,1904.87,0
8,14,865.75,824.72,0.0,2,1690.47,0
9,0,4362.09,4345.63,0.0,10,8707.72,0
9,1,2586.88,2671.26,0.0,6,5258.14,0
9,2,951.89,883.62,0.0,2,1835.51,0
9,3,1379.4,1304.29,0.0,3,2683.69,0
9,4,2906.42,2506.34,0.0,6,5412.76,0
9,5,1763.11,1882.7,0.0,4,3645.81,0
9,6,1227.82,1450.1,0.0,3,2677.92,0
9,7,973.73,927.27,0.0,2,1901.0,0
9,8,1701.2,1743.39,0.0,4,3444.59,0
9,9,786.6,965.27,0.0,2,1751.87,0
9,10,970.64,840.67,0.0,2,1811.31,0
9,11,1023.56,826.22,0.0,2,1849.78,0
9,12,814.85,910.36,0.0,2,1725.21,0
9,13,785.3,981.08,0.0,2,1766.38,0
9,14,842.75,838.04,0.0,2,1680.79,0
10,0,5614.16,5946.75,0.0,10,11560.91,0
10,1,3228.39,3529.57,0.0,6,6757.96,0
10,2,1197.82,1214.79,0.0,2,2412.61,0
10,3,1584.72,1731.66,0.0,3,3316.38,0
10,4,3472.7,3574.96,0.0,6,7047.66,0
10,5,2528.8,2454.83,0.0,4,4983.63,0
10,6,1709.3,1635.49,0.0,3,3344.79,0
10,7,1330.01,1246.74,0.0,2,2576.75,0
10,8,2409.26,1944.92,0.0,4,4354.18,0
10,9,1152.37,1280.61,0.0,2,2432.98,0
10,10,1180.01,1077.61,0.0,2,2257.62,0
10,11,1323.55,1172.24,0.0,2,2495.79,0
10,12,1259.78,1145.43,0.0,2,2405.21,0
10,13,1195.56,1123.1,0.0,2,2318.66,0
10,14,1051.83,1159.56,0.0,2,2211.39,0
11,0,5003.81,5151.76,0.0,10,10155.57,0
11,1,3019.85,3183.85,0.0,6,6203.7,0
11,2,1178.76,1141.92,0.0,2,2320.68,0
11,3,1372.95,1422.99,0.0,3,2795.94,0
11,4,3283.64,3253.59,0.0,6,6537.23,0
11,5,2108.57,2255.12,0.0,4,4363.69,0
11,6,1570.74,1431.71,0.0,3,3002.45,0
11,7,1173.39,1208.5,0.0,2,2381.89,0
11,8,2060.35,2094.26,0.0,4,4154.61,0
11,9,1025.22,1046.96,0.0,2,2072.18,0
11,10,1221.7,1098.07,0.0,2,2319.77,0
11,11,1032.94,964.87,0.0,2,1997.81,0
11,12,1172.4,1003.67,0.0,2,2176.07,0
11,13,1129.07,1128.95,0.0,2,2258.02,0
11,14,990.15,957.32,0.0,2,1947.47,0
12,0,5425.59,5913.76,0.0,10,11339.35,0
12,1,3155.43,3277.82,0.0,6,6433.25,0
12,2,1206.19,1190.18,0.0,2,2396.37,0
12,3,1609.74,1427.5,0.0,3,3037.24,0
12,4,3385.1,3645.09,0.0,6,7030.19,0
12,5,2170.35,2383.0,0.0,4,4553.35,0
12,6,1493.3,1841.84,0.0,3,3335.14,0
12,7,1137.67,1193.4,0.0,2,2331.07,0
12,8,2237.54,2036.98,0.0,4,4274.52,0
12,9,1178.34,970.01,0.0,2,2148.35,0
12,10,1250.95,1247.58,0.0,2,2498.53,0
12,11,1366.6,965.67,0.0,2,2332.27,0
12,12,1224.1,990.69,0.0,2,2214.79,0
12,13,1178.03,1026.47,0.0,2,2204.5,0
12,14,1035.77,944.71,0.0,2,1980.48,0
13,0,4301.18,4106.05,0.0,10,8407.23,0
13,1,2477.0,2684.4,0.0,6,5161.4,0
13,2,812.22,867.57,0.0,2,1679.79,0
13,3,1125.67,1308.95,0.0,3,2434.62,0
13,4,2569.85,2474.65,0.0,6,5044.5,0
13,5,1716.27,1576.5,0.0,4,3292.77,0
13,6,1234.62,1230.62,0.0,3,2465.24,0
13,7,901.67,834.38,0.0,2,1736.05,0
13,8,1796.08,1470.72,0.0,4,3266.8,0
13,9,783.8,902.66,0.0,2,1686.46,0
13,10,830.55,838.64,0.0,2,1669.19,0
13,11,832.74,941.43,0.0,2,1774.17,0
13,12,911.51,849.47,0.0,2,1760.98,0
13,13,782.29,1002.49,0.0,2,1784.78,0
13,14,816.17,803.09,0.0,2,1619.26,0
14,0,5804.75,5735.69,0.0,10,11540.44,0
14,1,3312.05,3752.06,0.0,6,7064.11,0
14,2,1312.43,1269.6,0.0,2,2582.03,0
14,3,1805.69,1701.89,0.0,3,3507.58,0
14,4,3633.63,3453.37,0.0,6,7087.0,0
14,5,2168.39,2508.36,0.0,4,4676.75,0
14,6,1596.38,1830.14,0.0,3,3426.52,0
14,7,1165.77,1072.86,0.0,2,2238.63,0
14,8,2379.51,2401.94,0.0,4,4781.45,0
14,9,1114.23,1112.63,0.0,2,2226.86,0
14,10,1445.73,1073.01,0.0,2,2518.74,0
14,11,1292.99,1361.94,0.0,2,2654.93,0
14,12,1262.21,976.0,0.0,2,2238.21,0
14,13,1076.67,1072.79,0.0,2,2149.46,0
14,14,1071.05,1119.2,0.0,2,2190.25,0
15,0,4004.1,3868.76,0.0,10,7872.86,0
15,1,2479.37,2486.42,0.0,6,4965.79,0
15,2,888.27,964.13,0.0,2,1852.4,0
15,3,1108.06,1128.63,0.0,3,2236.69,0
15,4,2626.1,2493.0,0.0,6,5119.1,0
15,5,1545.36,1547.44,0.0,4,3092.8,0
15,6,1068.63,1401.38,0.0,3,2470.01,0
15,7,937.9,921.9,0.0,2,1859.8,0
15,8,1636.73,1560.22,0.0,4,3196.95,0
15,9,856.54,828.64,0.0,2,1685.18,0
15,10,974.56,819.98,0.0,2,1794.54,0
15,11,687.74,832.4,0.0,2,1520.14,0
15,12,892.57,695.85,0.0,2,1588.42,0
15,13,723.65,725.41,0.0,2,1449.06,0
15,14,702.34,857.76,0.0,2,1560.1,0
16,0,5055.03,5273.99,0.0,10,10329.02,0
16,1,2812.95,2924.36,0.0,6,5737.31,0
16,2,991.13,1106.15,0.0,2,2097.28,0
16,3,1436.3,1445.36,0.0,3,2881.66,0
16,4,3184.2,3071.39,0.0,6,6255.59,0
16,5,1961.32,1984.65,0.0,4,3945.97,0
16,6,1462.58,1508.79,0.0,3,2971.37,0
16,7,1054.88,1180.62,0.0,2,2235.5,0
16,8,2100.34,1867.41,0.0,4,3967.75,0
16,9,1179.45,1117.87,0.0,2,2297.32,0
16,10,1112.21,839.87,0.0,2,1952.08,0
16,11,1017.61,1017.03,0.0,2,2034.64,0
16,12,965.59,1030.49,0.0,2,1996.08,0
16,13,1110.38,1008.91,0.0,2,2119.29,0
16,14,903.66,970.74,0.0,2,1874.4,0
17,0,4746.0,4497.26,0.0,10,9243.26,0
17,1,2459.74,2867.02,0.0,6,5326.76,0
17,2,1085.86,953.75,0.0,2,2039.61,0
17,3,1189.0,1285.45,0.0,3,2474.45,0
17,4,2753.33,2683.56,0.0,6,5436.89,0
17,5,1727.14,1763.15,0.0,4,3490.29,0
17,6,1246.5,1391.2,0.0,3,2637.7,0
17,7,1068.13,985.6,0.0,2,2053.73,0
17,8,1684.81,1618.39,0.0,4,3303.2,0
17,9,931.37,928.53,0.0,2,1859.9,0
17,10,1070.36,1014.3,0.0,2,2084.66,0
17,11,923.57,843.17,0.0,2,1766.74,0
17,12,899.58,872.06,0.0,2,1771.64,0
17,13,735.92,867.71,0.0,2,1603.63,0
17,14,865.53,815.69,0.0,2,1681.22,0
18,0,4707.79,4519.04,0.0,10,9226.83,0
18,1,2589.45,2772.74,0.0,6,5362.19,0
18,2,871.33,904.92,0.0,2,1776.25,0
18,3,1323.83,1357.34,0.0,3,2681.17,0
18,4,2729.18,2539.2,0.0,6,5268.38,0
18,5,1753.24,1688.15,0.0,4,3441.39,0
18,6,1313.3,1291.68,0.0,3,2604.98,0
18,7,1007.17,965.37,0.0,2,1972.54,0
18,8,1934.2,1953.17,0.0,4,3887.37,0
18,9,932.43,1000.99,0.0,2,1933.42,0
18,10,1060.11,904.68,0.0,2,1964.79,0
18,11,903.63,891.43,0.0,2,1795.06,0
18,12,1022.15,1072.54,0.0,2,2094.69,0
18,13,819.6,1008.18,0.0,2,1827.78,0
18,14,920.92,1018.9,0.0,2,1939.82,0
19,0,5205.65,4960.27,0.0,10,10165.92,0
19,1,3027.01,3145.99,0.0,6,6173.0,0
19,2,1179.95,996.45,0.0,2,2176.4,0
19,3,1336.46,1622.95,0.0,3,2959.41,0
19,4,2944.56,2962.23,0.0,6,5906.79,0
19,5,2163.34,2080.6,0.0,4,4243.94,0
19,6,1368.57,1446.27,0.0,3,2814.84,0
19,7,1191.27,1143.51,0.0,2,2334.78,0
19,8,2111.42,1710.46,0.0,4,3821.88,0
19,9,1033.83,1079.52,0.0,2,2113.35,0
19,10,980.83,1049.46,0.0,2,2030.29,0
19,11,980.15,956.93,0.0,2,1937.08,0
19,12,958.5,1146.42,0.0,2,2104.92,0
19,13,886.22,939.68,0.0,2,1825.9,0
19,14,813.51,940.53,0.0,2,1754.04,0
20,0,5616.19,5204.86,0.0,10,10821.05,0
20,1,3263.6,3481.98,0.0,6,6745.58,0
20,2,1161.2,1151.67,0.0,2,2312.87,0
20,3,1527.19,1578.01,0.0,3,3105.2,0
20,4,3603.52,3430.71,0.0,6,7034.23,0
20,5,2430.87,2306.18,0.0,4,4737.05,0
20,6,1654.6,1774.63,0.0,3,3429.23,0
20,7,1044.86,1349.51,0.0,2,2394.37,0
20,8,2237.96,2193.73,0.0,4,4431.69,0
20,9,1204.6,1049.25,0.0,2,2253.85,0
20,10,1202.16,975.19,0.0,2,2177.35,0
20,11,1050.81,1063.1,0.0,2,2113.91,0
20,12,1018.05,1188.9,0.0,2,2206.95,0
20,13,937.66,1146.43,0.0,2,2084.09,0
20,14,1112.99,1172.11,0.0,2,2285.1,0
21,0,4675.46,4683.67,0.0,10,9359.13,0
21,1,2743.88,3157.14,0.0,6,5901.02,0
21,2,1109.64,1110.89,0.0,2,2220.53,0
21,3,1514.11,1428.46,0.0,3,2942.57,0
21,4,2982.42,3025.4,0.0,6,6007.82,0
21,5,1978.25,2188.19,0.0,4,4166.44,0
21,6,1564.45,1298.33,0.0,3,2862.78,0
21,7,895.59,1002.95,0.0,2,1898.54,0
21,8,1904.29,1937.42,0.0,4,3841.71,0
21,9,836.69,969.18,0.0,2,1805.87,0
21,10,1156.31,829.96,0.0,2,1986.27,0
21,11,998.46,996.47,0.0,2,1994.93,0
21,12,1011.93,1027.92,0.0,2,2039.85,0
21,13,975.3,827.64,0.0,2,1802.94,0
21,14,1019.31,882.47,0.0,2,1901.78,0
22,0,4826.73,4846.67,0.0,10,9673.4,0
22,1,3002.51,3036.34,0.0,6,6038.85,0
22,2,953.38,1013.07,0.0,2,1966.45,0
22,3,1219.49,1270.04,0.0,3,2489.53,0
22,4,2952.8,2989.64,0.0,6,5942.44,0
22,5,1961.09,2000.77,0.0,4,3961.86,0
22,6,1492.08,1566.58,0.0,3,3058.66,0
22,7,1147.44,986.54,0.0,2,2133.98,0
22,8,1936.55,1848.17,0.0,4,3784.72,0
22,9,1040.69,982.32,0.0,2,2023.01,0
22,10,1074.56,1038.28,0.0,2,2112.84,0
22,11,939.76,914.23,0.0,2,1853.99,0
22,12,1028.94,1062.36,0.0,2,2091.3,0
22,13,958.39,1027.01,0.0,2,1985.4,0
22,14,956.02,908.41,0.0,2,1864.43,0
23,0,5222.45,4538.66,0.0,10,9761.11,0
23,1,2677.31,3024.06,0.0,6,5701.37,0
23,2,942.4,1017.76,0.0,2,1960.16,0
23,3,1270.38,1414.76,0.0,3,2685.14,0
23,4,3009.92,2875.18,0.0,6,5885.1,0
23,5,1959.13,2012.32,0.0,4,3971.45,0
23,6,1245.11,1443.97,0.0,3,2689.08,0
23,7,857.09,1048.74,0.0,2,1905.83,0
23,8,1943.97,1893.61,0.0,4,3837.58,0
23,9,1028.11,994.79,0.0,2,2022.9,0
23,10,1184.27,978.87,0.0,2,2163.14,0
23,11,1030.54,1060.38,0.0,2,2090.92,0
23,12,1128.32,964.57,0.0,2,2092.89,0
23,13,924.55,1129.56,0.0,2,2054.11,0
23,14,993.1,1019.42,0.0,2,2012.52,0
24,0,4027.72,3873.36,0.0,10,7901.08,0
24,1,2462.2,2311.3,0.0,6,4773.5,0
24,2,925.94,721.49,0.0,2,1647.43,0
24,3,1119.53,1161.3,0.0,3,2280.83,0
24,4,2391.56,2441.92,0.0,6,4833.48,0
24,5,1656.52,1510.75,0.0,4,3167.27,0
24,6,1108.14,1198.25,0.0,3,2306.39,0
24,7,718.41,929.61,0.0,2,1648.02,0
24,8,1628.66,1548.0,0.0,4,3176.66,0
24,9,772.8,840.82,0.0,2,1613.62,0
24,10,807.61,868.7,0.0,2,1676.31,0
24,11,821.14,748.43,0.0,2,1569.57,0
24,12,727.05,788.16,0.0,2,1515.21,0
24,13,669.24,871.32,0.0,2,1540.56,0
24,14,800.35,823.46,0.0,2,1623.81,0
25,0,4021.78,4280.93,0.0,10,8302.71,0
25,1,2432.74,2392.43,0.0,6,4825.17,0
25,2,883.3,838.09,0.0,2,1721.39,0
25,3,1161.1,1149.5,0.0,3,2310.6,0
25,4,2566.48,2624.82,0.0,6,5191.3,0
25,5,1690.19,1743.5,0.0,4,3433.69,0
25,6,1136.99,1235.13,0.0,3,2372.12,0
25,7,936.82,813.21,0.0,2,1750.03,0
25,8,1617.03,1590.83,0.0,4,3207.86,0
25,9,875.26,876.03,0.0,2,1751.29,0
25,10,915.34,785.24,0.0,2,1700.58,0
25,11,851.11,855.01,0.0,2,1706.12,0
25,12,930.59,848.7,0.0,2,1779.29,0
25,13,822.59,819.53,0.0,2,1642.12,0
25,14,828.53,816.9,0.0,2,1645.43,0
26,0,5288.67,5381.78,0.0,10,10670.45,0
26,1,3122.39,3169.81,0.0,6,6292.2,0
26,2,1179.4,1194.44,0.0,2,2373.84,0
26,3,1533.87,1603.13,0.0,3,3137.0,0
26,4,3417.38,3276.17,0.0,6,6693.55,0
26,5,2408.29,2011.92,0.0,4,4420.21,0
26,6,1671.65,1684.62,0.0,3,3356.27,0
26,7,1022.99,1061.75,0.0,2,2084.74,0
26,8,2353.28,2153.97,0.0,4,4507.25,0
26,9,1174.67,1252.71,0.0,2,2427.38,0
26,10,1153.76,1081.23,0.0,2,2234.99,0
26,11,1039.94,1071.58,0.0,2,2111.52,0
26,12,1038.97,1213.92,0.0,2,2252.89,0
26,13,1122.94,1249.72,0.0,2,2372.66,0
26,14,1049.62,1171.07,0.0,2,2220.69,0
27,0,5446.45,5363.43,0.0,10,10809.88,0
27,1,3106.67,3411.24,0.0,6,6517.91,0
27,2,1281.63,1234.08,0.0,2,2515.71,0
27,3,1468.46,1518.62,0.0,3,2987.08,0
27,4,3244.52,3091.69,0.0,6,6336.21,0
27,5,2284.8,1923.38,0.0,4,4208.18,0
27,6,1496.3,1725.07,0.0,3,3221.37,0
27,7,1211.54,1106.04,0.0,2,2317.58,0
27,8,2253.63,2049.41,0.0,4,4303.04,0
27,9,971.15,1258.83,0.0,2,2229.98,0
27,10,975.06,1023.86,0.0,2,1998.92,0
27,11,957.32,1121.42,0.0,2,2078.74,0
27,12,996.84,984.65,0.0,2,1981.49,0
27,13,989.95,1029.46,0.0,2,2019.41,0
27,14,1146.18,989.32,0.0,2,2135.5,0
28,0,6093.42,5846.26,0.0,10,11939.68,0
28,1,3596.1,3666.57,0.0,6,7262.67,0
28,2,1140.67,1368.63,0.0,2,2509.3,0
28,3,1834.69,1877.01,0.0,3,3711.7,0
28,4,3756.2,3631.01,0.0,6,7387.21,0
28,5,2493.99,2185.78,0.0,4,4679.77,0
28,6,1577.08,1889.21,0.0,3,3466.29,0
28,7,1300.06,1258.91,0.0,2,2558.97,0
28,8,2242.64,2304.83,0.0,4,4547.47,0
28,9,1112.07,1335.32,0.0,2,2447.39,0
28,10,1378.98,1121.53,0.0,2,2500.51,0
28,11,1086.83,1238.09,0.0,2,2324.92,0
28,12,1296.66,1196.38,0.0,2,2493.04,0
28,13,1160.7,1268.18,0.0,2,2428.88,0
28,14,1127.29,1009.67,0.0,2,2136.96,0
29,0,4823.58,4615.49,0.0,10,9439.07,0
29,1,2672.56,3125.53,0.0,6,5798.09,0
29,2,912.07,1059.68,0.0,2,1971.75,0
29,3,1372.38,1391.37,0.0,3,2763.75,0
29,4,2946.22,2810.38,0.0,6,5756.6,0
29,5,1802.37,2055.53,0.0,4,3857.9,0
29,6,1460.86,1482.97,0.0,3,2943.83,0
29,7,1012.76,997.64,0.0,2,2010.4,0
29,8,2039.59,1906.95,0.0,4,3946.54,0
29,9,971.14,1035.52,0.0,2,2006.66,0
29,10,1036.86,954.72,0.0,2,1991.58,0
29,11,1019.71,936.55,0.0,2,1956.26,0
29,12,1103.77,796.96,0.0,2,1900.73,0
29,13,842.69,939.22,0.0,2,1781.91,0
29,14,926.68,834.73,0.0,2,1761.41,0
30,0,4004.17,4038.91,0.0,10,8043.08,0
30,1,2409.98,2475.39,0.0,6,4885.37,0
30,2,920.5,858.56,0.0,2,1779.06,0
30,3,1136.02,1130.71,0.0,3,2266.73,0
30,4,2407.01,2392.22,0.0,6,4799.23,0
30,5,1500.2,1603.0,0.0,4,3103.2,0
30,6,1089.96,1178.97,0.0,3,2268.93,0
30,7,979.22,754.99,0.0,2,1734.21,0
30,8,1712.49,1499.6,0.0,4,3212.09,0
30,9,727.83,897.97,0.0,2,1625.8,0
30,10,823.45,835.41,0.0,2,1658.86,0
30,11,872.19,821.02,0.0,2,1693.21,0
30,12,718.24,710.44,0.0,2,1428.68,0
30,13,833.06,859.22,0.0,2,1692.28,0
30,14,791.98,869.89,0.0,2,1661.87,0
31,0,4548.89,4580.56,0.0,10,9129.45,0
31,1,2791.23,2662.41,0.0,6,5453.64,0
31,2,1016.04,1042.25,0.0,2,2058.29,0
31,3,1369.57,1442.49,0.0,3,2812.06,0
31,4,2775.63,2706.63,0.0,6,5482.26,0
31,5,1801.38,1841.47,0.0,4,3642.85,0
31,6,1267.12,1393.75,0.0,3,2660.87,0
31,7,943.55,995.54,0.0,2,1939.09,0
31,8,1857.69,1799.57,0.0,4,3657.26,0
31,9,873.07,932.72,0.0,2,1805.79,0
31,10,969.12,918.52,0.0,2,1887.64,0
31,11,993.8,841.74,0.0,2,1835.54,0
31,12,851.95,909.07,0.0,2,1761.02,0
31,13,799.89,812.98,0.0,2,1612.87,0
31,14,860.45,839.68,0.0,2,1700.13,0
32,0,5461.4,5578.25,0.0,10,11039.65,0
32,1,3302.01,3492.92,0.0,6,6794.93,0
32,2,1283.65,1259.45,0.0,2,2543.1,0
32,3,1661.19,1743.22,0.0,3,3404.41,0
32,4,3530.74,3201.73,0.0,6,6732.47,0
32,5,2118.73,2365.28,0.0,4,4484.01,0
32,6,1611.29,1668.65,0.0,3,3279.94,0
32,7,1206.33,1078.35,0.0,2,2284.68,0
32,8,2358.29,2062.2,0.0,4,4420.49,0
32,9,1206.89,1261.93,0.0,2,2468.82,0
32,10,1106.97,1037.04,0.0,2,2144.01,0
32,11,1108.31,941.26,0.0,2,2049.57,0
32,12,1152.4,1117.39,0.0,2,2269.79,0
32,13,946.67,1165.31,0.0,2,2111.98,0
32,14,988.56,1070.45,0.0,2,2059.01,0
33,0,5134.84,5006.18,0.0,10,10141.02,0
33,1,3085.37,3413.03,0.0,6,6498.4,0
33,2,939.12,919.42,0.0,2,1858.54,0
33,3,1445.43,1406.91,0.0,3,2852.34,0
33,4,3024.26,3002.54,0.0,6,6026.8,0
33,5,2155.31,1934.79,0.0,4,4090.1,0
33,6,1340.01,1507.64,0.0,3,2847.65,0
33,7,1078.67,1123.31,0.0,2,2201.98,0
33,8,2036.11,1852.19,0.0,4,3888.3,0
33,9,1031.21,947.67,0.0,2,1978.88,0
33,10,1129.41,1122.94,0.0,2,2252.35,0
33,11,1010.73,1141.43,0.0,2,2152.16,0
33,12,1082.87,1053.07,0.0,2,2135.94,0
33,13,1042.26,1058.11,0.0,2,2100.37,0
33,14,880.38,926.75,0.0,2,1807.13,0
34,0,4842.43,4531.37,0.0,10,9373.8,0
34,1,2567.55,3180.29,0.0,6,5747.84,0
34,2,1123.88,1089.11,0.0,2,2212.99,0
34,3,1281.96,1371.99,0.0,3,2653.95,0
34,4,3193.71,2968.86,0.0,6,6162.57,0
34,5,2000.33,1948.63,0.0,4,3948.96,0
34,6,1455.97,1393.78,0.0,3,2849.75,0
34,7,1001.47,1055.35,0.0,2,2056.82,0
34,8,2061.79,1729.07,0.0,4,3790.86,0
34,9,923.3,1008.92,0.0,2,1932.22,0
34,10,1080.12,984.02,0.0,2,2064.14,0
34,11,1037.1,1026.52,0.0,2,2063.62,0
34,12,1013.58,1058.48,0.0,2,2072.06,0
34,13,856.5,1064.31,0.0,2,1920.81,0
34,14,879.41,908.4,0.0,2,1787.81,0
35,0,5334.16,5390.41,0.0,10,10724.57,0
